@id,rdf:type,skos:inScheme,skos:topConceptOf,skos:broader,skos:prefLabel,rdfs:label,skos:altLabel[1],skos:altLabel[2],skos:altLabel[3],skos:altLabel[4],skos:altLabel[5],skos:altLabel[6],skos:altLabel[7],skos:note,pav:version
iskouk:SJG9ANW6,skos:Concept,iskouk:subjects,,iskouk:DKIAAD71,Public data,,Personal information,Public sector data,,,,,,Confirmed different to Open data.,
iskouk:Q5RA1J29,skos:Concept,iskouk:subjects,,iskouk:67ZW7M5G,Grey literature,,,,,,,,,,
iskouk:3ZVOYSOX,skos:Concept,iskouk:subjects,,iskouk:67ZW7M5G,Identifiers,,,,,,,,,,
iskouk:AR2YUHO3,skos:Concept,iskouk:subjects,,iskouk:3ZVOYSOX,Digital Object Identifiers,,DOI,,,,,,,,
iskouk:ZI2EQI8D,skos:Concept,iskouk:subjects,,iskouk:3ZVOYSOX,International Resource Identifiers,,IRI,,,,,,,,
iskouk:T769ZBER,skos:Concept,iskouk:subjects,,iskouk:3ZVOYSOX,Uniform Resource Identifiers,,URI,,,,,,,,
iskouk:W91MXJ7V,skos:Concept,iskouk:subjects,,iskouk:3ZVOYSOX,Unique Property Reference Numbers,,UPRN,,,,,,,,
iskouk:XKUZIVQY,skos:Concept,iskouk:subjects,,iskouk:67ZW7M5G,Images,,,,,,,,,,
iskouk:88BK5GN6,skos:Concept,iskouk:subjects,,iskouk:XKUZIVQY,Infographics,,,,,,,,,,
iskouk:8L5MEKEC,skos:Concept,iskouk:subjects,,iskouk:XKUZIVQY,Photographs,,,,,,,,,,
iskouk:3EUZDJS5,skos:Concept,iskouk:subjects,,iskouk:67ZW7M5G,Multimedia,,,,,,,,,,
iskouk:2XM537H5,skos:Concept,iskouk:subjects,,iskouk:67ZW7M5G,Social media,,Social networks,,,,,,,,
iskouk:RYX5J1OV,skos:Concept,iskouk:subjects,,iskouk:2XM537H5,Facebook,,,,,,,,,,
iskouk:K8YOYJOW,skos:Concept,iskouk:subjects,,iskouk:67ZW7M5G,Videos,,,,,,,,,,
iskouk:202AASH6,skos:Concept,iskouk:subjects,,iskouk:67ZW7M5G,Web sites,,Web pages,Websites,,,,,,,
iskouk:I01931DD,skos:Concept,iskouk:subjects,,iskouk:67ZW7M5G,Wikis,,,,,,,,,,
iskouk:9SZAFUGD,skos:Concept,iskouk:subjects,iskouk:subjects,,Information professionals,,,,,,,,,,
iskouk:0LEPGCWQ,skos:Concept,iskouk:subjects,,iskouk:9SZAFUGD,Data architects,,,,,,,,,,
iskouk:L72G5W0J,skos:Concept,iskouk:subjects,,iskouk:9SZAFUGD,Information architects,,,,,,,,,,
iskouk:1OFZ35SJ,skos:Concept,iskouk:subjects,,iskouk:9SZAFUGD,Information managers,,,,,,,,,,
iskouk:XYPM9UDO,skos:Concept,iskouk:subjects,,iskouk:9SZAFUGD,Knowledge managers,,,,,,,,,,
iskouk:J5H0NJSA,skos:Concept,iskouk:subjects,,iskouk:9SZAFUGD,Ontologists,,,,,,,,,,
iskouk:UPSE41RH,skos:Concept,iskouk:subjects,,iskouk:9SZAFUGD,Records managers,,,,,,,,,,
iskouk:EAZ7DERP,skos:Concept,iskouk:subjects,,iskouk:9SZAFUGD,Taxonomists,,,,,,,,,,
iskouk:0WXEID7H,skos:Concept,iskouk:subjects,,iskouk:9SZAFUGD,User researchers,,User experience designers,UX designers,,,,,,,
iskouk:PRUIHEDJ,skos:Concept,iskouk:subjects,iskouk:subjects,,Information retrieval,,Findability,Discoverability,Resource discovery,Information discovery,,,,,
iskouk:JP493S7E,skos:Concept,iskouk:subjects,,iskouk:PRUIHEDJ,Evaluating search,,Search performance,,,,,,,,
iskouk:HA7G50BV,skos:Concept,iskouk:subjects,,iskouk:PRUIHEDJ,Federated search,,,,,,,,,,
iskouk:CMYJ6BZX,skos:Concept,iskouk:subjects,,iskouk:PRUIHEDJ,Multi-lingual search,,Multilingual search,,,,,,,,
