@id,rdf:type,skos:inScheme,skos:topConceptOf,skos:broader,skos:prefLabel,rdfs:label,skos:altLabel[1],skos:altLabel[2],skos:altLabel[3],skos:altLabel[4],skos:altLabel[5],skos:altLabel[6],skos:altLabel[7],skos:note,pav:version
iskouk:ZZAC19NJ,skos:Concept,iskouk:subjects,,iskouk:6DJ82O1I,Archaeology,,,,,,,,,,
iskouk:FQN3F8UG,skos:Concept,iskouk:subjects,,iskouk:6DJ82O1I,Architecture,,,,,,,,,,
iskouk:ITG7XTCP,skos:Concept,iskouk:subjects,,iskouk:6DJ82O1I,Art,,Painting,,,,,,,,
iskouk:M7O7FVTN,skos:Concept,iskouk:subjects,,iskouk:6DJ82O1I,Cinema,,Movies,Films,Performing arts,,,,,,
iskouk:B3JR156V,skos:Concept,iskouk:subjects,,iskouk:6DJ82O1I,Geography,,,,,,,,,,
iskouk:TDR9S103,skos:Concept,iskouk:subjects,,iskouk:6DJ82O1I,History,,,,,,,,,,
iskouk:J2VKM2ZO,skos:Concept,iskouk:subjects,,iskouk:6DJ82O1I,Law,,,,,,,,,,
iskouk:QHI3KC0M,skos:Concept,iskouk:subjects,,iskouk:6DJ82O1I,Library and information science,,LIS,Library science,Librarianship,Information science,,,,,
iskouk:URTHVEAH,skos:Concept,iskouk:subjects,,iskouk:6DJ82O1I,Museums and art galleries,,Cultural heritage,Heritage institutions,,,,,,,
iskouk:N6BVA9P2,skos:Concept,iskouk:subjects,,iskouk:6DJ82O1I,Music,,Performing arts,,,,,,,,
iskouk:5UGB0MMB,skos:Concept,iskouk:subjects,,iskouk:6DJ82O1I,Philosophy,,,,,,,,,,
iskouk:Y2ZCKBE7,skos:Concept,iskouk:subjects,,iskouk:6DJ82O1I,Politics,,,,,,,,,,
iskouk:74QF41BO,skos:Concept,iskouk:subjects,,iskouk:6DJ82O1I,Theatre,,Performing arts,,,,,,,,
iskouk:GPY66LUH,skos:Concept,iskouk:subjects,,iskouk:T8XMIVM7,Journalism,,News,,,,,,,,
iskouk:0TXEB67G,skos:Concept,iskouk:subjects,,iskouk:T8XMIVM7,Manufacturing,,,,,,,,,,
iskouk:Z2GIPX0Y,skos:Concept,iskouk:subjects,,iskouk:0TXEB67G,Motor industry,,Cars,,,,,,,,
iskouk:E0BZWEEC,skos:Concept,iskouk:subjects,,iskouk:0TXEB67G,Pharmaceuticals,,Pharmacology,,,,,,,,
iskouk:AX075AC1,skos:Concept,iskouk:subjects,,iskouk:0TXEB67G,Publishing,,,,,,,,,,
iskouk:VIV9A2YC,skos:Concept,iskouk:subjects,,iskouk:T8XMIVM7,Oil and gas,,,,,,,,,,
iskouk:5Q4KFVJM,skos:Concept,iskouk:subjects,,iskouk:T8XMIVM7,Public sector,,Public administration,,,,,,,,
iskouk:FH2I9PFT,skos:Concept,iskouk:subjects,,iskouk:5Q4KFVJM,Central government,,,,,,,,,,
iskouk:AZIWEKBJ,skos:Concept,iskouk:subjects,,iskouk:5Q4KFVJM,Local government,,Local authorities,,,,,,,,
iskouk:3WM8Y0O9,skos:Concept,iskouk:subjects,,iskouk:5Q4KFVJM,Parliament,,,,,,,,,,
iskouk:ZI3KIFKX,skos:Concept,iskouk:subjects,,iskouk:T8XMIVM7,Science,,,,,,,,,,
iskouk:KM97CK4K,skos:Concept,iskouk:subjects,,iskouk:ZI3KIFKX,Aeronautics,,,,,,,,,,
iskouk:FFIUH6QN,skos:Concept,iskouk:subjects,,iskouk:ZI3KIFKX,Aquatic science,,,,,,,,,,
iskouk:8WDAPEM8,skos:Concept,iskouk:subjects,,iskouk:ZI3KIFKX,Chemistry,,,,,,,,,,
iskouk:7G55GHKM,skos:Concept,iskouk:subjects,,iskouk:ZI3KIFKX,Life science,,Ecology,Biodiversity,Natural history,Biology,,,,,
iskouk:W4D9ML68,skos:Concept,iskouk:subjects,,iskouk:ZI3KIFKX,Mathematics,,,,,,,,,,
iskouk:PHP2YCSR,skos:Concept,iskouk:subjects,,iskouk:ZI3KIFKX,Medical science,,Biomedicine,,,,,,,,
iskouk:MQZ2DDDX,skos:Concept,iskouk:subjects,,iskouk:ZI3KIFKX,Mineralogy,,,,,,,,,,
iskouk:2B5Y3J4U,skos:Concept,iskouk:subjects,iskouk:subjects,,Social aspects,,,,,,,,,,
iskouk:C1OI14HO,skos:Concept,iskouk:subjects,,iskouk:2B5Y3J4U,Access to information,,,,,,,,,,
iskouk:LBCYCEYA,skos:Concept,iskouk:subjects,,iskouk:2B5Y3J4U,Censorship,,,,,,,,,,
iskouk:1VWJX996,skos:Concept,iskouk:subjects,,iskouk:2B5Y3J4U,Crowdsourcing,,,,,,,,,,
iskouk:B2NDN6KH,skos:Concept,iskouk:subjects,,iskouk:2B5Y3J4U,Disinformation,,,,,,,,,,
iskouk:OHRY7ZUH,skos:Concept,iskouk:subjects,,iskouk:2B5Y3J4U,Ethics,,,,,,,,,,
iskouk:IPA5V5AM,skos:Concept,iskouk:subjects,,iskouk:2B5Y3J4U,Fake news,,,,,,,,,,
iskouk:ZIO1BG9Z,skos:Concept,iskouk:subjects,,iskouk:2B5Y3J4U,Information literacy,,,,,,,,,,
iskouk:ZHX5KNP5,skos:Concept,iskouk:subjects,,iskouk:2B5Y3J4U,Intellectual property,,IP,Copyright,,,,,,,
iskouk:0VMQ8DHJ,skos:Concept,iskouk:subjects,,iskouk:ZHX5KNP5,Open Government Licence,,,,,,,,,,
iskouk:9N9RIC05,skos:Concept,iskouk:subjects,,iskouk:2B5Y3J4U,Legislation,,,,,,,,,,
iskouk:0R6F8PDM,skos:Concept,iskouk:subjects,,iskouk:9N9RIC05,Data Protection Act,,DPA,DP law,,,,,,,
iskouk:4ER4MT26,skos:Concept,iskouk:subjects,,iskouk:9N9RIC05,Freedom of Information Act,,FOIA,,,,,,,,
iskouk:YZF0P84A,skos:Concept,iskouk:subjects,,iskouk:9N9RIC05,General Data Protection Regulation,,GDPR,,,,,,,,
iskouk:SDWWBUJU,skos:Concept,iskouk:subjects,,iskouk:9N9RIC05,Protection of Freedoms Act,,Protection of Freedoms Bill,PoFA,,,,,,,
iskouk:M8F1HSYC,skos:Concept,iskouk:subjects,,iskouk:2B5Y3J4U,Objectivity,,,,,,,,,,
iskouk:PY1WMR1C,skos:Concept,iskouk:subjects,iskouk:subjects,,User behaviours,,Information behaviour,,,,,,,,
iskouk:LK4TLO46,skos:Concept,iskouk:subjects,,iskouk:PY1WMR1C,Browsing,,,,,,,,,,
iskouk:8RJ9U9BC,skos:Concept,iskouk:subjects,,iskouk:PY1WMR1C,Searching,,,,,,,,,,
iskouk:X22DNMQ8,skos:Concept,iskouk:subjects,,iskouk:PY1WMR1C,User journeys,,,,,,,,,,
